@RELATION SWA_classification

@ATTRIBUTE s_str STRING
@ATTRIBUTE t_str STRING
@ATTRIBUTE st_samestr {0,1}
@ATTRIBUTE s_stem STRING
@ATTRIBUTE t_stem STRING
@ATTRIBUTE st_samestem {0,1}
@ATTRIBUTE s_pos STRING
@ATTRIBUTE t_pos STRING
@ATTRIBUTE st_precede {0,1}
@ATTRIBUTE st_follow {0,1}
@ATTRIBUTE class {preserved,bigrammar-vtense,bigrammar-wform,bigrammar-inter,paraphrase,unaligned,mogrammar-prep,mogrammar-det,bigrammar-prep,bigrammar-det,bigrammar-others,typo,spelling,duplicate,moproblematic,biproblematic,unspec}

@DATA
This,This,1,This,This,1,DET,DET,1,1,preserved
paper,paper,1,paper,paper,1,NN,NN,1,1,preserved
analyzes,analyzes,1,analyze,analyze,1,NNS,NNS,1,1,preserved
the,the,1,the,the,1,DET,DET,1,0,preserved
effects,effect,0,effect,effect,1,NNS,NN,1,1,bigrammar-others
of,of,1,of,of,1,IN,IN,0,0,preserved
structural,structural,1,structural,structural,1,JJ,JJ,0,1,preserved
variation,variation,1,variation,variation,1,NN,NN,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
sentences,sentences,1,sentence,sentence,1,NNS,NNS,1,1,preserved
on,on,1,on,on,1,IN,IN,1,1,preserved
parsing,parsing,1,parse,parse,1,VBG,VBG,1,0,preserved
performances,performance,0,performance,performance,1,NNS,NN,1,1,bigrammar-others
.,.,1,.,.,1,PP,PP,0,1,preserved
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
We,We,1,We,We,1,PRP,PRP,1,0,preserved
examined,examine,0,examine,examine,1,VBN,VB,1,1,bigrammar-vtense
the,the,1,the,the,1,DET,DET,0,0,preserved
performances,performance,0,performance,performance,1,NNS,NN,1,1,bigrammar-others
of,of,1,of,of,1,IN,IN,0,1,preserved
both,both,1,both,both,1,DET,DET,1,1,preserved
shallow,shallow,1,shallow,shallow,1,JJ,JJ,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
deep,deep,1,deep,deep,1,JJ,JJ,1,1,preserved
parsers,parsers,1,parser,parser,1,NNS,NNS,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
two,two,1,two,two,1,CD,CD,1,1,preserved
sentence,sentence,1,sentence,sentence,1,NN,NN,1,1,preserved
constructions,constructions,1,construction,construction,1,NNS,NNS,1,1,preserved
:,:,1,:,:,1,PPS,PPS,1,1,preserved
imperatives,imperatives,1,imperative,imperative,1,NNS,NNS,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
questions,questions,1,question,question,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
The,The,1,The,The,1,DET,DET,1,1,preserved
target,target,1,target,target,1,NN,NN,1,1,preserved
parsers,parsers,1,parser,parser,1,NNS,NNS,1,1,preserved
are,are,1,be,be,1,VBP,VBP,1,1,preserved
adapted,adapted,1,adapt,adapt,1,VBN,VBN,1,1,preserved
to,to,1,to,to,1,TO,TO,1,0,preserved
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
sentences,sentences,1,sentence,sentence,1,NNS,NNS,0,0,preserved
for,of,0,for,of,0,IN,IN,1,1,bigrammar-prep
constructions,constructions,1,construction,construction,1,NNS,NNS,1,1,preserved
from,from,1,from,from,1,IN,IN,1,1,preserved
fiction,fiction,1,fiction,fiction,1,NN,NN,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
query,query,1,query,query,1,NN,NN,1,1,preserved
texts,texts,1,text,text,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
these,these,1,these,these,1,DET,DET,0,1,preserved
extracted,extracted,1,extract,extract,1,VBN,VBN,1,1,preserved
The,?,0,The,?,0,DET,?,0,0,mogrammar-det
analysis,Analysis,0,analysis,Analysis,0,NN,NNP,0,1,preserved
of,of,1,of,of,1,IN,IN,0,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
experimental,experimental,1,experimental,experimental,1,JJ,JJ,1,1,preserved
results,results,1,result,result,1,NNS,NNS,1,0,preserved
